author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i,clusters,quality_rating
Emmanuel Bourg,0.0,225.4818037974684,2528,13,3232.0475319926877,2306.270566727605,205.6508226691042,50.90127970749543,14.105484460694688,1338.308957952468,25.844606946983543,134.15539305301644,552.892138939671,600.7568555758684,24.659963436928702,1338.308957952468,3.503290676416826,1287.0073126142595,22.30164533820841,4.093235831809872,29.0,3.829981718464351,160.79524680073126,23.09524680073121,547,13,14.669719827586206,265302.0,4.0,239.0,21.0,1456.0,1992.0,0.0716594827586206,3712.0,7.0,Excellent programming skills,0.9689975625798763
Emmanuel Venisse,0.0,158.1679389312977,131,1,3784.32,1745.7866666666666,200.46666666666667,24.72,7.774666666666668,2061.4666666666667,0.52,101.21333333333334,788.1866666666666,999.4133333333332,172.13333333333333,2061.4666666666667,3.12933333333333,2002.32,44.56,3.5733333333333333,14.586666666666666,3.786666666666666,352.2,17.312000000000022,75,1,12.736842105263158,1118.0,0.0,3.0,0.0,9.0,7.0,0.0526315789473684,19.0,1.0,Excellent programming skills,0.9006647723487679
Enver Haase,0.0,241.16304347826087,92,1,6389.3877551020405,4629.34693877551,837.2244897959183,204.9183673469388,48.64285714285717,3604.326530612245,34.48979591836735,178.69387755102042,1522.530612244898,1814.591836734694,54.02040816326531,3604.326530612245,6.644897959183671,3473.9795918367345,70.93877551020408,5.0,59.40816326530612,4.0,368.4489795918368,48.11632653061222,49,1,7.428571428571429,3567.0,0.0,2.0,1.0,30.0,23.0,0.0,56.0,1.0,Excellent programming skills,0.9689975625798763
Eric N. Hanson,0.0,195.64864864864865,148,1,110397.33333333331,90603.72222222222,5963.777777777777,868.3333333333334,20.605555555555554,44824.833333333336,261.94444444444446,2059.5,17012.333333333332,24372.38888888889,1118.6666666666667,44824.833333333336,3.200000000000001,43141.05555555556,857.2222222222222,5.0,826.5555555555555,4.0,2905.555555555556,9.82222222222222,18,1,24.924050632911392,4670.0,0.0,8.0,0.0,40.0,31.0,0.0759493670886076,79.0,1.0,Extremely bad programming skills,0.17516783439468797
Erik Abele,0.0,244.625,16,2,3739.733333333333,2795.0,338.4,65.6,9.406666666666668,1537.2,2.2,317.8,667.6,544.2,5.4,1537.2,3.88,1491.0,2.4,2.6,43.8,4.0,322.7333333333333,18.96,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Ernesto S. Tolentino Jr,0.0,164.5,2,1,1393.0,1352.0,109.0,19.0,11.1,708.0,0.0,70.0,368.0,203.0,67.0,708.0,2.6,677.0,0.0,1.0,31.0,4.0,161.0,18.4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Fabrizio Giustina,0.0,179.0,1,1,2292.0,1748.0,201.0,24.0,9.8,1468.0,0.0,103.0,577.0,629.0,159.0,1468.0,3.7,1462.0,0.0,1.0,6.0,3.0,312.0,15.9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Felipe Leme,0.0,236.77777777777777,27,1,5484.0,3987.0,76.0,57.0,4.411111111111111,2077.0,6.0,113.0,1243.0,691.0,24.0,2077.0,4.6000000000000005,2052.0,13.0,4.0,12.0,4.0,541.0,25.0,9,1,2.75,368.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,Excellent programming skills,0.9551698306766678
Flavio Paiva Junqueira,0.0,193.54030501089323,459,1,9472.285714285714,8469.142857142857,321.2142857142857,100.14285714285714,5.378571428571428,4788.785714285715,17.5,517.0714285714286,2069.3571428571427,2113.0,71.85714285714286,4788.785714285715,3.100000000000001,4329.142857142857,32.285714285714285,5.0,427.3571428571428,4.0,450.2857142857143,13.271428571428569,14,1,4.0,757.0,0.0,1.0,0.0,1.0,9.0,0.0,11.0,1.0,Excellent programming skills,0.9006647723487679
Francesco Furfari,0.0,281.13861386138615,707,1,8577.58064516129,9292.774193548386,197.5483870967742,83.87096774193549,6.738709677419357,5173.1612903225805,33.32258064516129,416.03225806451616,2334.2258064516127,2181.8064516129034,207.7741935483871,5173.1612903225805,3.774193548387095,5039.903225806452,46.80645161290322,5.0,86.45161290322581,4.0,594.516129032258,32.312903225806465,31,1,19.428571428571427,4505.0,0.0,2.0,0.0,47.0,35.0,0.0,84.0,1.0,Excellent programming skills,0.9551698306766678
Francois-Xavier Bonnet,0.0,214.9156626506024,83,2,8677.76923076923,5836.461538461538,653.3076923076923,125.23076923076924,9.676923076923076,3829.3846153846152,6.846153846153846,359.9230769230769,1988.076923076923,1240.3846153846157,234.15384615384616,3829.3846153846152,3.9,3747.923076923077,10.461538461538462,4.0,71.0,4.0,665.3076923076923,13.676923076923078,13,2,26.357142857142858,602.0,0.0,1.0,2.0,8.0,3.0,0.0,14.0,1.0,Excellent programming skills,0.9006647723487679
Gang Tim Liu,0.0,197.07692307692307,52,1,91970.57142857143,75382.42857142857,5580.571428571428,793.1428571428571,23.542857142857144,38754.42857142857,250.7142857142857,1812.571428571429,14110.0,21648.285714285717,932.8571428571428,38754.42857142857,3.2,37275.71428571428,757.5714285714286,5.0,721.1428571428571,4.0,2411.1428571428573,9.842857142857142,7,1,17.691176470588236,14817.0,2.0,9.0,0.0,98.0,95.0,0.0098039215686274,204.0,1.0,Extremely bad programming skills,0.17516783439468797
Gary D. Gregory,0.0,250.31838538245657,16747,22,3999.1807580174927,2669.481924198251,220.3548104956268,49.51049562682216,9.018134110787194,1627.6230320699708,14.959183673469388,202.2134110787172,785.1644314868805,574.5693877551021,50.71661807580175,1627.6230320699708,3.267492711370274,1589.8516034985423,17.81195335276968,3.770845481049563,19.95947521865889,3.262390670553936,261.16967930029153,23.516122448979573,3430,22,18.06003937007874,59779.0,4.0,61.0,18.0,493.0,440.0,0.0068897637795275,1016.0,16.0,Excellent programming skills,0.9689975625798763
Geir Magnusson Jr,0.0,188.16346153846155,208,5,1734.5696202531649,2124.4177215189875,109.0379746835443,9.341772151898734,11.36708860759494,1385.506329113924,33.050632911392405,41.607594936708864,533.7088607594936,775.5696202531645,1.5696202531645569,1385.506329113924,6.63164556962025,1281.772151898734,88.55696202531645,3.2658227848101267,15.177215189873415,3.6582278481012658,56.63291139240506,14.300000000000011,79,5,16.28787878787879,12844.0,1.0,6.0,0.0,112.0,79.0,0.1363636363636363,198.0,2.0,Excellent programming skills,0.9689975625798763
Glenn L. Nielsen,0.0,576.0,40,1,1120.1176470588234,473.4117647058824,98.52941176470588,28.11764705882353,30.782352941176477,649.5882352941177,3.176470588235294,85.41176470588235,186.35294117647055,369.0,5.647058823529412,649.5882352941177,5.735294117647059,633.8823529411765,5.823529411764706,4.0,9.882352941176473,4.0,38.35294117647059,30.029411764705884,17,1,17.652173913043477,1113.0,0.0,6.0,1.0,7.0,9.0,0.0,23.0,1.0,Excellent programming skills,0.9006647723487679
Gopal Vijayaraghavan,0.0,175.73333333333332,15,1,124943.33333333331,103411.0,6636.333333333333,717.3333333333334,15.433333333333332,49646.66666666666,266.0,2276.333333333333,18090.0,28086.0,928.3333333333334,49646.66666666666,3.2000000000000006,47864.0,949.0,5.0,833.6666666666666,4.0,3080.6666666666665,9.5,3,1,10.66101694915254,8725.0,1.0,4.0,1.0,65.0,47.0,0.1525423728813559,118.0,1.0,Extremely bad programming skills,0.17516783439468797
Gunther Hagleitner,0.0,201.85253980288095,2638,1,106959.21538461538,87945.70384615385,5654.873076923077,777.6961538461538,19.496153846153803,43526.49615384615,261.33076923076925,1981.942307692308,16296.065384615384,23923.8,1063.3576923076923,43526.49615384615,3.2307692307692246,41900.89615384615,834.223076923077,5.0,791.376923076923,4.0,2789.8846153846152,9.775384615384608,260,1,19.08042926378952,670295.0,56.0,357.0,15.0,4180.0,4058.0,0.0455804292637895,8666.0,1.0,Extremely bad programming skills,0.17516783439468797
Hans Gilde,0.0,167.0,16,1,5330.583333333333,3865.0833333333335,77.0,58.0,4.783333333333332,2033.5833333333333,6.0,106.16666666666669,1215.5833333333333,680.8333333333334,25.0,2033.5833333333333,4.666666666666667,2013.25,9.0,4.0,11.333333333333334,4.0,533.8333333333334,25.05,12,1,2.4,338.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,Excellent programming skills,0.9551698306766678
Harish Butani,0.0,210.9891304347826,736,1,120564.1875,98985.0,6803.145833333333,880.25,19.29791666666667,48749.583333333336,268.2916666666667,2240.6875,18010.520833333332,27129.27083333333,1100.8125,48749.583333333336,3.204166666666667,46956.4375,921.7291666666666,5.0,871.4166666666666,4.0,3051.6041666666665,9.64375,48,1,14.939655172413794,8456.0,0.0,4.0,1.0,73.0,38.0,0.2413793103448276,116.0,1.0,Extremely bad programming skills,0.17516783439468797
Henning Schmiedehausen,0.0,380.1666666666667,84,2,2266.4444444444443,1698.8333333333333,45.02777777777778,13.944444444444445,6.374999999999999,836.0555555555555,45.80555555555556,72.94444444444444,446.1111111111111,242.83333333333331,28.36111111111111,836.0555555555555,3.219444444444445,820.0833333333334,9.47222222222222,4.722222222222222,6.5,4.0,145.5,21.40833333333333,36,2,19.23913043478261,2753.0,2.0,4.0,2.0,23.0,15.0,0.0,46.0,1.0,Excellent programming skills,0.9006647723487679
Henri Biestro,0.0,300.3898916967509,2493,2,2844.372549019608,2282.133333333333,52.46666666666667,14.709803921568628,2.631960784313719,660.743137254902,3.611764705882353,102.45490196078433,338.4019607843137,207.26078431372548,9.013725490196078,660.743137254902,2.4945098039215825,635.7549019607843,18.449019607843137,4.609803921568627,6.53921568627451,3.994117647058824,108.76274509803922,22.82686274509803,510,2,17.058823529411764,62804.0,16.0,81.0,12.0,582.0,329.0,0.1794117647058823,1020.0,1.0,Excellent programming skills,0.9006647723487679
Henri Yandell,0.0,208.8849388379205,7848,21,2955.8614864864867,1966.639358108108,155.36993243243242,43.52871621621622,23.98420608108114,1405.4383445945946,20.397804054054053,228.47297297297297,596.8851351351351,527.6942567567568,31.98817567567568,1405.4383445945946,3.940962837837848,1367.8023648648648,26.08277027027027,3.706925675675676,11.55320945945946,3.3994932432432434,161.46368243243242,26.171283783783835,1184,21,15.064695311223655,435886.0,4.0,336.0,43.0,2519.0,3219.0,0.0668191471981702,6121.0,15.0,Excellent programming skills,0.9689975625798763
Hongchao Deng,0.0,203.6578947368421,38,1,9488.4,8477.0,318.0,100.1,5.769999999999999,4820.2,17.0,521.4,2090.3,2123.5,68.0,4820.2,3.1000000000000005,4362.6,33.0,5.0,424.6,4.0,442.4,13.24,10,1,14.428571428571429,451.0,0.0,1.0,0.0,4.0,2.0,0.0,7.0,1.0,Excellent programming skills,0.9006647723487679
Humberto Cervantes Maceda,0.0,141.96428571428572,28,1,7274.2,7792.4,168.8,70.8,6.139999999999999,4266.4,31.4,328.4,1928.6,1791.6,186.4,4266.4,3.72,4161.6,40.0,5.0,64.8,4.0,512.6,34.3,5,1,16.384615384615383,3544.0,0.0,2.0,0.0,22.0,28.0,0.0,52.0,1.0,Excellent programming skills,0.9551698306766678
Ignacio J. Ortega,0.0,251.0,2,1,636.0,283.0,62.0,19.0,35.7,551.0,2.0,67.0,135.0,345.0,2.0,551.0,6.8,540.0,4.0,4.0,7.0,4.0,28.0,22.7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9689975625798763
James Mitchell,0.0,165.0,4,2,1474.2,1148.8,206.0,18.2,11.179999999999998,896.0,53.8,172.2,282.6,370.0,17.4,896.0,5.2,872.8,15.6,4.2,7.6,3.2,77.8,29.14,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
James Strachan,0.0,392.4075461600214,3737,10,2756.7985185185184,1986.9081481481485,96.91407407407408,75.01333333333334,13.604592592592606,1405.588148148148,9.277037037037037,71.85777777777778,727.7274074074074,586.3762962962963,10.34962962962963,1405.588148148148,4.820888888888884,1386.1896296296295,11.35851851851852,2.974814814814815,8.04,3.936296296296296,275.6103703703704,26.302814814814862,675,10,17.706409372846313,83594.0,11.0,65.0,2.0,675.0,698.0,0.0117160578911095,1451.0,6.0,Excellent programming skills,0.9689975625798763
James Turner,0.0,253.375,48,1,733.16,577.68,108.8,12.08,9.784000000000002,399.16,0.0,43.6,182.44,173.12,0.0,399.16,6.244,382.24,6.16,4.0,10.76,4.0,36.64,28.396000000000004,25,1,14.607843137254902,2960.0,0.0,6.0,0.0,23.0,22.0,0.0,51.0,1.0,Excellent programming skills,0.9551698306766678
James W. Carman,0.0,180.825,120,3,7473.111111111111,4893.611111111111,307.05555555555554,85.33333333333333,9.95,3249.555555555556,36.11111111111112,613.5,1475.388888888889,1067.5,57.05555555555556,3249.555555555556,3.45,3193.555555555556,41.0,5.0,15.0,4.0,381.5,25.488888888888894,18,3,14.773584905660377,2801.0,0.0,8.0,0.0,24.0,21.0,0.0,53.0,2.0,Excellent programming skills,0.9551698306766678
Jan Luehe,0.0,150.0,1,1,2637.0,2660.0,354.0,45.0,21.0,2698.0,267.0,659.0,595.0,1125.0,52.0,2698.0,6.4,2684.0,10.0,4.0,4.0,4.0,139.0,28.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Jason Dere,0.0,204.0,51,1,125561.81818181818,103301.36363636365,7082.818181818182,851.9090909090909,17.936363636363637,50446.09090909091,269.3636363636364,2323.2727272727275,18437.090909090908,28364.81818181818,1051.5454545454545,50446.09090909091,3.2,48607.63636363636,955.0909090909092,5.0,883.3636363636364,4.0,3121.5454545454545,9.554545454545451,11,1,20.142857142857142,452.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,1.0,Extremely bad programming skills,0.17516783439468797
Jason van Zyl,0.0,179.17884615384617,1040,13,3460.2935323383085,2018.4975124378109,240.61194029850745,46.65174129353234,14.676616915422892,2095.517412935324,7.781094527363184,103.90547263681592,793.9751243781094,1072.4726368159204,117.38308457711445,2095.517412935324,4.056218905472639,2050.049751243781,28.139303482587064,3.3383084577114426,17.328358208955223,3.711442786069652,274.363184079602,22.27014925373136,201,13,18.52647975077881,21703.0,2.0,27.0,1.0,170.0,121.0,0.02803738317757,321.0,4.0,Excellent programming skills,0.9689975625798763
Jean-Frederic Clere,0.0,180.04724409448818,254,2,185.2244897959184,153.77551020408163,20.53061224489796,8.612244897959183,67.34965986394565,245.12925170068027,5.7687074829931975,32.605442176870746,132.41496598639455,74.34013605442176,0.0,245.12925170068027,7.743537414965969,238.3877551020408,5.081632653061225,4.0,1.6598639455782314,1.0408163265306123,13.673469387755102,24.48639455782317,147,2,43.41666666666666,555.0,0.0,2.0,0.0,5.0,5.0,0.0,12.0,1.0,Excellent programming skills,0.9689975625798763
Jeff Turner,0.0,200.03937007874012,127,6,1759.090909090909,1330.6363636363635,103.9090909090909,46.18181818181818,23.3,1077.1818181818182,30.818181818181817,139.0,426.09090909090907,470.8181818181818,10.454545454545457,1077.1818181818182,5.327272727272727,1065.4545454545455,4.363636363636363,3.090909090909091,7.363636363636363,3.1818181818181817,133.0909090909091,26.009090909090904,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9689975625798763
Jeffrey Brekke,0.0,356.1630434782609,920,1,1803.641304347826,1428.5326086956522,71.78260869565217,48.69565217391305,15.77934782608696,1335.445652173913,0.1304347826086956,181.31521739130437,699.4021739130435,452.7934782608696,1.8043478260869563,1335.445652173913,4.688043478260872,1206.9673913043478,1.3478260869565215,4.0,127.1304347826087,4.0,143.68478260869566,57.16739130434787,92,1,16.837988826815643,38553.0,0.0,59.0,3.0,302.0,173.0,0.0,537.0,1.0,Excellent programming skills,0.9551698306766678
Jeremias Maerki,0.0,212.703125,192,2,947.7325581395348,529.1279069767442,19.069767441860463,6.569767441860465,8.34418604651164,506.36046511627904,2.63953488372093,90.24418604651164,230.8953488372093,151.04651162790697,31.53488372093023,506.36046511627904,3.2662790697674424,459.59302325581393,44.03488372093023,4.0,2.732558139534884,4.0,60.06976744186046,29.5546511627907,86,1,18.48507462686567,7303.0,2.0,8.0,4.0,67.0,53.0,0.0,134.0,1.0,Excellent programming skills,0.9551698306766678
Jesse McConnell,0.0,291.88607594936707,237,1,2844.4210526315787,1695.4561403508771,197.9122807017544,24.157894736842103,8.866666666666667,1632.8070175438595,0.5263157894736842,103.3859649122807,647.6842105263158,731.8947368421053,149.31578947368422,1632.8070175438595,3.5473684210526333,1604.1052631578948,17.789473684210527,2.0701754385964914,10.912280701754383,3.298245614035088,326.1578947368421,16.759649122807012,57,1,15.577235772357724,7319.0,0.0,12.0,0.0,39.0,72.0,0.0,123.0,1.0,Excellent programming skills,0.9006647723487679
Jianyong Dai,0.0,180.875,96,1,99912.5,82121.13636363637,5143.136363636364,659.3636363636364,18.56363636363637,40768.63636363636,252.1818181818182,1823.9545454545453,15059.818181818182,22638.0,994.681818181818,40768.63636363636,3.2181818181818187,39243.545454545456,794.5454545454545,5.0,730.5454545454545,4.0,2566.3636363636365,9.704545454545451,22,1,37.58997050147492,52222.0,9.0,31.0,1.0,391.0,246.0,0.0958702064896755,678.0,1.0,Extremely bad programming skills,0.17516783439468797
Jim Jagielski,0.0,179.0,8,1,645.5,386.5,6.5,3.0,1.6749999999999998,331.5,0.0,44.25,158.25,117.0,12.0,331.5,3.1,312.0,9.0,4.0,10.5,4.0,44.25,22.15,4,1,8.666666666666666,733.0,0.0,2.0,0.0,6.0,4.0,0.0,12.0,1.0,Excellent programming skills,0.9551698306766678
Jitendra Nath Pandey,0.0,193.48828125,256,1,121307.66666666669,99540.5925925926,6877.777777777777,927.1851851851852,19.86296296296296,49054.07407407407,269.0,2259.851851851852,18246.666666666668,27140.222222222223,1138.3333333333333,49054.07407407407,3.200000000000001,47245.92592592593,925.7777777777778,5.0,882.3703703703703,4.0,3094.925925925926,9.681481481481482,27,1,11.095477386934672,13538.0,0.0,7.0,0.0,94.0,98.0,0.0402010050251256,199.0,1.0,Extremely bad programming skills,0.17516783439468797
Joakim Erdfelt,0.0,294.09472259810553,739,1,3863.725490196078,1755.235294117647,202.6078431372549,26.431372549019606,7.713725490196078,2113.078431372549,1.0,104.84313725490196,811.9215686274509,1022.0392156862744,173.27450980392155,2113.078431372549,3.1549019607843114,2054.6666666666665,41.21568627450981,3.7450980392156863,17.19607843137255,3.803921568627451,364.7058823529412,17.443137254901966,51,1,16.10594315245478,24590.0,2.0,18.0,1.0,188.0,178.0,11.304909560723514,387.0,1.0,Excellent programming skills,0.9006647723487679
Jochen Wiedmann,0.0,209.8653846153846,364,4,1102.7916666666667,685.8666666666667,125.33333333333331,31.641666666666666,62.72916666666664,505.23333333333335,2.825,78.00833333333334,194.54166666666663,164.275,65.58333333333333,505.23333333333335,4.332500000000002,494.44166666666666,9.983333333333333,4.0,0.8083333333333333,1.325,64.90833333333333,35.10916666666669,120,4,16.53921568627451,6077.0,3.0,12.0,1.0,54.0,32.0,0.0,102.0,3.0,Excellent programming skills,0.9689975625798763
Joerg Schaible,0.0,195.8153846153846,195,8,4411.4625,2946.3875,117.1625,36.7875,10.340000000000003,1627.5125,10.675,187.3375,853.1875,509.2625,67.05,1627.5125,2.9062499999999982,1593.175,15.8,4.85,18.5375,3.9625,295.675,20.628750000000004,80,8,22.714285714285715,2946.0,0.0,6.0,1.0,23.0,19.0,0.0,49.0,2.0,Excellent programming skills,0.9689975625798763
Johan Oskarsson,0.0,208.4081632653061,49,1,15258.8,13189.6,1129.0,79.6,14.62,9031.6,113.8,371.4,3620.0,4081.4,845.0,9031.6,4.460000000000001,8397.8,257.4,5.0,376.4,4.0,603.0,13.62,5,1,33.01526717557252,9307.0,0.0,8.0,0.0,52.0,71.0,0.1145038167938931,131.0,1.0,Excellent programming skills,0.9006647723487679
John Dennis Casey,0.0,385.0,1,1,2069.0,1392.0,167.0,18.0,9.7,1282.0,0.0,96.0,493.0,587.0,106.0,1282.0,3.9,1276.0,0.0,1.0,6.0,3.0,267.0,15.7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9006647723487679
John Keyes,0.0,175.4832904884319,389,1,1006.6936936936936,702.0360360360361,75.13513513513513,30.72972972972973,21.0162162162162,500.5495495495496,0.0,44.02702702702703,270.76576576576576,176.55855855855856,9.1981981981982,500.5495495495496,4.223423423423424,494.4144144144144,0.8018018018018018,2.603603603603604,5.333333333333333,3.1981981981981984,68.1981981981982,20.310810810810803,111,1,18.05596107055961,26182.0,0.0,29.0,1.0,201.0,180.0,0.0559610705596107,411.0,1.0,Excellent programming skills,0.9006647723487679
John McNally,0.0,314.20652173913044,92,2,1013.4782608695652,544.2608695652174,98.3913043478261,25.782608695652176,36.93913043478261,506.4347826086956,4.695652173913044,66.95652173913044,166.69565217391303,254.65217391304347,13.434782608695652,506.4347826086956,4.030434782608695,490.0869565217391,8.217391304347826,4.0,8.130434782608695,2.6956521739130435,33.34782608695652,34.1304347826087,23,2,16.296610169491526,7067.0,1.0,21.0,0.0,49.0,47.0,0.0762711864406779,118.0,1.0,Excellent programming skills,0.9689975625798763
John Sichi,0.0,424.5106934543098,3086,1,39216.70718232044,34212.89502762431,1858.1602209944751,192.18232044198896,15.061325966850829,16428.50276243094,178.3259668508287,779.1491712707183,6725.546961325967,8268.276243093922,477.2044198895028,16428.50276243094,3.458011049723762,15623.486187845305,441.2154696132597,5.0,363.8011049723757,4.0,1137.243093922652,11.66022099447512,181,1,14.465587044534413,31963.0,5.0,26.0,1.0,198.0,264.0,0.145748987854251,494.0,1.0,Excellent programming skills,0.9006647723487679
Jonathan Moore,0.0,367.1,320,1,6664.785046728972,4601.747663551402,498.33644859813086,80.04672897196262,7.712149532710295,3086.504672897196,11.271028037383177,335.32710280373834,1539.4299065420562,1097.1869158878503,103.28971962616822,3086.504672897196,3.810280373831776,3005.495327102804,7.5233644859813085,4.0,73.48598130841121,4.0,495.5233644859813,15.620560747663571,107,1,12.141843971631204,9155.0,0.0,12.0,4.0,73.0,52.0,0.0141843971631205,141.0,1.0,Excellent programming skills,0.9006647723487679
Josh Elser,0.0,180.0,39,2,4629.538461538462,2929.846153846154,58.0,21.0,1.9,1288.2307692307693,5.0,133.07692307692307,811.1538461538462,251.0,88.0,1288.2307692307693,2.507692307692308,1265.1538461538462,9.0,5.0,14.076923076923077,4.0,373.0,20.2,13,1,47.5,51.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,Excellent programming skills,0.9006647723487679
Joydeep Sensarma,0.0,183.95454545454547,110,1,28919.722222222223,25099.277777777777,1502.7222222222222,142.22222222222223,14.966666666666663,13056.888888888889,161.77777777777777,624.3888888888889,5304.055555555556,6373.777777777777,592.8888888888889,13056.888888888889,3.777777777777777,12339.111111111111,355.72222222222223,5.0,362.05555555555554,4.0,904.4444444444443,12.383333333333333,18,1,17.285714285714285,3319.0,1.0,4.0,0.0,27.0,24.0,0.0,56.0,1.0,Excellent programming skills,0.9006647723487679
Jukka Zitting,0.0,267.23809523809524,42,1,2643.1428571428573,1683.0,155.07142857142858,28.714285714285715,6.1571428571428575,1166.928571428571,3.7142857142857135,321.35714285714283,431.7857142857143,390.07142857142856,20.0,1166.928571428571,3.2357142857142853,1129.2142857142858,33.642857142857146,4.0,4.071428571428571,4.0,158.71428571428572,31.47857142857143,14,1,7.5,104.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,Excellent programming skills,0.9551698306766678
Julian Sedding,0.0,225.82608695652172,23,1,7355.285714285715,4683.142857142857,469.8571428571428,78.57142857142857,8.357142857142858,2979.1428571428573,7.0,234.14285714285717,1611.857142857143,1119.142857142857,7.0,2979.1428571428573,3.5,2908.1428571428573,11.0,4.0,60.0,4.0,571.5714285714286,11.0,7,1,12.928571428571429,953.0,0.0,1.0,0.0,9.0,4.0,0.0,14.0,1.0,Excellent programming skills,0.9006647723487679
Julius Davies,0.0,189.57692307692307,26,1,1720.0833333333333,1275.9166666666667,70.16666666666667,13.083333333333334,6.699999999999999,707.5833333333334,0.0,68.83333333333333,372.0833333333333,251.66666666666663,15.0,707.5833333333334,2.6833333333333336,705.25,1.0,3.0,1.3333333333333333,3.0,74.08333333333333,23.84166666666667,12,1,24.82608695652174,1438.0,0.0,2.0,0.0,13.0,8.0,0.0,23.0,1.0,Excellent programming skills,0.9006647723487679
Karl Pauls,0.0,174.91216557294297,3962,1,10558.857142857143,11430.085714285717,261.1142857142857,114.68571428571428,7.945714285714285,6621.685714285714,37.114285714285714,551.8857142857142,2930.057142857143,2862.8,239.82857142857145,6621.685714285714,3.765714285714287,6429.028571428571,54.77142857142857,5.0,137.88571428571427,4.0,733.8,30.40571428571429,35,1,24.774193548387096,9220.0,1.0,14.0,0.0,82.0,58.0,0.0129032258064516,155.0,1.0,Excellent programming skills,0.9551698306766678
Karl Wright,0.0,191.58823529411765,51,1,8329.722222222223,5626.611111111111,564.1111111111111,96.5,7.399999999999999,3793.944444444444,6.722222222222222,349.6111111111111,1917.388888888889,1304.7222222222222,215.5,3793.944444444444,3.872222222222222,3709.3888888888887,9.5,4.0,75.05555555555556,4.0,623.3888888888889,13.711111111111109,18,1,12.72,1444.0,0.0,1.0,0.0,12.0,12.0,0.0,25.0,1.0,Excellent programming skills,0.9006647723487679
Kenney Westerhof,0.0,272.0,3,1,2579.333333333333,1400.6666666666667,155.66666666666666,19.33333333333333,8.8,1676.3333333333333,0.0,86.66666666666667,623.0,828.0,138.66666666666666,1676.3333333333333,3.766666666666666,1654.3333333333333,13.333333333333334,4.0,8.666666666666666,3.333333333333333,282.3333333333333,16.866666666666664,3,1,10.0,114.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,Excellent programming skills,0.9006647723487679
"Kevin Joseph Menard, Jr",0.0,164.78571428571428,14,1,26265.0,18448.0,1512.0,330.0,5.3,13333.0,106.0,554.0,6478.0,5811.0,384.0,13333.0,3.5,11764.0,1442.0,5.0,127.0,4.0,2392.0,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9006647723487679
Kevin Wilfong,0.0,196.74577702702703,1184,1,57960.09302325582,50119.95348837209,2592.3255813953488,267.3488372093023,15.582558139534877,24123.23255813953,174.0581395348837,1095.1627906976744,8823.372093023256,13548.36046511628,482.27906976744185,24123.23255813953,3.2639534883720995,23156.918604651164,546.4651162790698,5.0,419.8488372093023,4.0,1458.1279069767445,10.258139534883725,86,1,12.887272727272729,18153.0,3.0,11.0,1.0,158.0,102.0,0.0618181818181818,275.0,1.0,Excellent programming skills,0.9006647723487679
Kristian Rosenvold,0.0,196.88673139158576,309,1,4246.038461538462,2738.769230769231,198.3205128205128,42.01282051282051,6.379487179487177,1878.692307692308,4.0,435.62820512820514,716.0,653.8205128205128,69.24358974358974,1878.692307692308,3.5615384615384595,1834.5128205128208,37.17948717948718,4.0,7.0,4.0,218.02564102564105,30.629487179487185,78,1,14.979166666666666,2708.0,1.0,7.0,0.0,20.0,20.0,0.0,48.0,1.0,Excellent programming skills,0.9551698306766678
